Rank,Test_Case_ID,Priority_Score,Original_User_Story_ID,Input_User_Story_ID,Reason,File_Changed,Changed_Function
1,TC-100,1.0,US-12,US-12,Directly mapped in Excel,python-testcase/backend/app.py,nan
2,TC-13,0.5,US-08,US-12,Model-based priority (high failure risk),python-testcase/backend/app.py,nan
3,TC-20,0.3617999851703644,US-10,US-12,Model-based priority (high failure risk),python-testcase/backend/app.py,nan
4,TC-15,0.30195000767707825,US-09,US-12,Model-based priority (high failure risk),python-testcase/backend/app.py,nan
5,TC-23,0.21250000596046448,US-07,US-12,Model-based priority (high failure risk),python-testcase/backend/app.py,nan
6,TC-08,0.19329999387264252,US-06,US-12,Model-based priority (high failure risk),python-testcase/backend/app.py,nan
7,TC-12,0.1882999986410141,US-08,US-12,Model-based priority (high failure risk),python-testcase/backend/app.py,nan
8,TC-05,0.17964999377727509,US-03,US-12,Model-based priority (high failure risk),python-testcase/backend/app.py,nan
9,TC-03,0.1667499989271164,US-02,US-12,Model-based priority (high failure risk),python-testcase/backend/app.py,nan
10,TC-09,0.1464499980211258,US-07,US-12,Model-based priority (high failure risk),python-testcase/backend/app.py,nan
11,TC-14,0.13944999873638153,US-09,US-12,Model-based priority (high failure risk),python-testcase/backend/app.py,nan
12,TC-28,0.13830000162124634,US-06,US-12,Model-based priority (high failure risk),python-testcase/backend/app.py,nan
13,TC-24,0.1351500004529953,US-10,US-12,Model-based priority (high failure risk),python-testcase/backend/app.py,nan
14,TC-25,0.1311500072479248,US-10,US-12,Model-based priority (high failure risk),python-testcase/backend/app.py,nan
15,TC-29,0.12964999675750732,US-08,US-12,Model-based priority (high failure risk),python-testcase/backend/app.py,nan
16,TC-21,0.11389999836683273,US-10,US-12,Model-based priority (high failure risk),python-testcase/backend/app.py,nan
17,TC-16,0.11330000311136246,US-09,US-12,Model-based priority (high failure risk),python-testcase/backend/app.py,nan
18,TC-22,0.10745000094175339,US-05,US-12,Model-based priority (high failure risk),python-testcase/backend/app.py,nan
19,TC-01,0.10369999706745148,US-01,US-12,Model-based priority (high failure risk),python-testcase/backend/app.py,nan
20,TC-02,0.09825000166893005,US-01,US-12,Model-based priority (high failure risk),python-testcase/backend/app.py,nan
21,TC-06,0.09719999879598618,US-04,US-12,Model-based priority (high failure risk),python-testcase/backend/app.py,nan
22,TC-07,0.08604999631643295,US-05,US-12,Model-based priority (high failure risk),python-testcase/backend/app.py,nan
23,TC-26,0.07845000177621841,US-04,US-12,Model-based priority (high failure risk),python-testcase/backend/app.py,nan
24,TC-11,0.06669999659061432,US-08,US-12,Model-based priority (high failure risk),python-testcase/backend/app.py,nan
25,TC-10,0.06584999710321426,US-07,US-12,Model-based priority (high failure risk),python-testcase/backend/app.py,nan
26,TC-04,0.04989999905228615,US-03,US-12,Model-based priority (high failure risk),python-testcase/backend/app.py,nan
27,TC-17,0.04500000178813934,US-10,US-12,Model-based priority (high failure risk),python-testcase/backend/app.py,nan
28,TC-27,0.042899999767541885,US-11,US-12,Model-based priority (high failure risk),python-testcase/backend/app.py,nan
29,TC-18,0.03044999949634075,US-10,US-12,Model-based priority (high failure risk),python-testcase/backend/app.py,nan
